App name,Date,Time,Duration
App Usage,11-07-19,1:29:13 PM,00:00:01
Zenbo App List,11-07-19,1:29:09 PM,00:00:04
File Manager,11-07-19,1:29:05 PM,00:00:05
Gmail,11-07-19,1:28:49 PM,00:00:16
File Manager,11-07-19,1:28:11 PM,00:00:33
Zenbo App List,11-07-19,11:50:30 AM,01:37:41
Slides,11-07-19,11:49:30 AM,00:01:00
Zenbo App List,11-07-19,11:49:26 AM,00:00:04
File Manager,11-07-19,11:49:23 AM,00:00:02
Zenbo App List,11-07-19,11:42:38 AM,00:06:45
Slides,11-07-19,11:42:36 AM,00:00:02
Zenbo App List,11-07-19,11:39:31 AM,00:03:05
Zenbo combine slides,11-07-19,11:34:31 AM,00:05:00
Slides,11-07-19,11:26:51 AM,00:07:39
Zenbo combine slides,11-07-19,11:26:37 AM,00:00:14
Slides,11-07-19,11:20:58 AM,00:05:39
Zenbo combine slides,11-07-19,11:20:56 AM,00:00:02
Slides,11-07-19,11:17:09 AM,00:03:47
Zenbo combine slides,11-07-19,11:17:06 AM,00:00:02
Slides,11-07-19,11:14:22 AM,00:02:44
Zenbo combine slides,11-07-19,11:14:19 AM,00:00:03
Slides,11-07-19,11:08:39 AM,00:05:39
Zenbo combine slides,11-07-19,11:08:24 AM,00:00:16
Zenbo App List,11-07-19,11:08:13 AM,00:00:10
Slides,11-07-19,11:06:09 AM,00:02:04
Zenbo combine slides,11-07-19,11:06:05 AM,00:00:04
Slides,11-07-19,10:56:03 AM,00:10:02
Zenbo combine slides,11-07-19,10:56:00 AM,00:00:03
Slides,11-07-19,10:55:55 AM,00:00:04
Zenbo_alarm,11-07-19,10:55:50 AM,00:00:05
Slides,11-07-19,10:52:46 AM,00:03:04
Zenbo combine slides,11-07-19,10:52:45 AM,00:00:01
Zenbo App List,11-07-19,10:52:41 AM,00:00:04
Zenbo Fun Coding,11-07-19,10:52:28 AM,00:00:13
Zenbo App List,11-07-19,10:51:37 AM,00:00:51
LocalDS,11-07-19,10:51:20 AM,00:00:17
Zenbo App List,11-07-19,10:48:14 AM,00:03:06
File Manager,11-07-19,10:48:11 AM,00:00:02
Zenbo App List,11-07-19,10:47:47 AM,00:00:24
System UI,11-07-19,10:47:44 AM,00:00:03
Zenbo App List,11-07-19,10:47:43 AM,00:00:01
Google Play Store,11-07-19,10:47:36 AM,00:00:07
Zenbo App List,11-07-19,10:47:27 AM,00:00:09
File Manager,11-07-19,10:47:15 AM,00:00:12
Zenbo App List,11-07-19,10:46:37 AM,00:00:38
Zenbo_alarm,11-07-19,10:46:00 AM,00:00:36
Zenbo App List,11-07-19,10:45:58 AM,00:00:02
Zenbo combine slides,11-07-19,10:45:13 AM,00:00:45
Zenbo App List,11-07-19,10:45:09 AM,00:00:04
ZenboDevSample,11-07-19,10:45:06 AM,00:00:03
Zenbo combine slides,11-07-19,10:45:00 AM,00:00:06
ZenboDevSample,11-07-19,10:44:42 AM,00:00:18
Zenbo App List,11-07-19,10:44:35 AM,00:00:07
Zenbo_alarm,11-07-19,10:44:27 AM,00:00:08
Zenbo App List,11-07-19,10:44:15 AM,00:00:12
Zenbo_alarm,11-07-19,10:44:03 AM,00:00:13
Zenbo App List,11-07-19,10:43:15 AM,00:00:47
Zenbo_alarm,11-07-19,10:42:38 AM,00:00:38
Zenbo App List,11-07-19,10:42:34 AM,00:00:04
ZenboDevSample,11-07-19,10:41:52 AM,00:00:42
Zenbo App List,11-07-19,10:41:47 AM,00:00:05
Zenbo Fun Coding,11-07-19,10:41:38 AM,00:00:09
Zenbo App List,11-07-19,10:41:24 AM,00:00:13
ZenboDevSample,11-07-19,10:40:10 AM,00:01:14
Zenbo App List,11-07-19,10:39:39 AM,00:00:31
Zenbo App Builder,11-07-19,10:39:30 AM,00:00:10
Zenbo App List,11-07-19,10:39:25 AM,00:00:04
RobotSensorSample,11-07-19,10:39:05 AM,00:00:21
Zenbo App List,11-07-19,10:38:56 AM,00:00:09
Zenbo Classroom Mode,11-07-19,10:38:37 AM,00:00:19
Zenbo App List,11-07-19,10:38:34 AM,00:00:03
Zenbo combine slides,11-07-19,10:37:51 AM,00:00:43
Slides,11-07-19,10:37:44 AM,00:00:07
Zenbo combine slides,11-07-19,10:37:40 AM,00:00:04
Zenbo App List,11-07-19,10:37:33 AM,00:00:07
Zenbo Fun Coding,11-07-19,10:24:14 AM,00:13:19
Zenbo App List,11-07-19,10:24:07 AM,00:00:07
ZenboDialogSample,11-07-19,10:24:00 AM,00:00:07
LocalDS,11-07-19,10:23:45 AM,00:00:16
ZenboDialogSample,11-07-19,10:23:43 AM,00:00:02
Zenbo App List,11-07-19,10:23:38 AM,00:00:05
ZenboDevSample,11-07-19,10:22:49 AM,00:00:49
Zenbo App List,11-07-19,10:22:45 AM,00:00:04
Zenbo Fun Coding,11-07-19,10:15:57 AM,00:06:48
Zenbo App List,11-07-19,10:15:52 AM,00:00:05
Web Browser,11-07-19,10:11:54 AM,00:03:59
Package installer,11-07-19,10:11:36 AM,00:00:18
Web Browser,11-07-19,10:11:25 AM,00:00:12
Package installer,11-07-19,10:11:13 AM,00:00:11
Web Browser,11-07-19,10:10:57 AM,00:00:17
Zenbo App List,11-07-19,10:10:19 AM,00:00:37
System UI,11-07-19,10:10:18 AM,00:00:01
Zenbo App List,11-07-19,10:10:03 AM,00:00:15
Zenbo Classroom Mode,11-07-19,10:08:15 AM,00:01:48
Zenbo App List,11-07-19,10:07:41 AM,00:00:34
Portal App,11-07-19,10:07:32 AM,00:00:09
Zenbo App List,11-07-19,10:07:30 AM,00:00:02
System UI,11-07-19,10:07:28 AM,00:00:02
Zenbo App List,11-07-19,10:06:02 AM,00:01:25
Device boot,11-07-19,10:06:00 AM,00:00:02
Device shutdown,11-07-19,10:03:36 AM,00:02:24
Zenbo Fun Coding,11-07-19,10:03:00 AM,00:00:36
Zenbo App List,11-07-19,10:01:28 AM,00:01:32
Slides,11-07-19,9:56:06 AM,00:05:22
System UI,11-07-19,9:56:04 AM,00:00:02
Zenbo App List,11-07-19,9:56:02 AM,00:00:02
Slides,11-07-19,9:55:04 AM,00:00:58
Zenbo_alarm,11-07-19,9:55:00 AM,00:00:03
Slides,11-07-19,9:08:14 AM,00:46:46
Drive,11-07-19,9:08:12 AM,00:00:02
Classroom,11-07-19,9:07:43 AM,00:00:29
Zenbo App List,11-07-19,9:07:41 AM,00:00:02
System UI,11-07-19,9:07:37 AM,00:00:04
Drive,11-07-19,9:07:29 AM,00:00:08
Classroom,11-07-19,9:07:05 AM,00:00:24
Drive,11-07-19,9:07:02 AM,00:00:04
Classroom,11-07-19,9:06:46 AM,00:00:15
System UI,11-07-19,9:06:44 AM,00:00:02
Slides,11-07-19,9:06:37 AM,00:00:07
Drive,11-07-19,9:06:36 AM,00:00:01
Classroom,11-07-19,9:06:11 AM,00:00:25
Zenbo App List,11-07-19,9:06:08 AM,00:00:03
System UI,11-07-19,9:05:59 AM,00:00:09
Drive,11-07-19,9:05:46 AM,00:00:13
Classroom,11-07-19,9:05:42 AM,00:00:04
Drive,11-07-19,9:05:40 AM,00:00:02
Classroom,11-07-19,9:05:19 AM,00:00:21
System UI,11-07-19,9:05:18 AM,00:00:01
Classroom,11-07-19,9:02:07 AM,00:03:10
Zenbo App List,11-07-19,9:01:19 AM,00:00:48
Zenbo_alarm,11-07-19,8:57:37 AM,00:03:43
Screen on (unlocked),11-07-19,8:57:33 AM,00:00:03
Screen off,11-07-19,8:36:46 AM,00:20:48
Zenbo App List,11-07-19,8:21:06 AM,00:15:39
Slides,11-07-19,8:20:53 AM,00:00:13
Drive,11-07-19,8:20:45 AM,00:00:08
Zenbo App List,11-07-19,8:20:42 AM,00:00:03
Zenbo_alarm,11-07-19,8:20:19 AM,00:00:23
Zenbo App List,11-07-19,8:20:16 AM,00:00:03
Zenbo combine slides,11-07-19,8:20:15 AM,00:00:01
Zenbo App List,11-07-19,8:20:12 AM,00:00:03
Zenbo Classroom Mode,11-07-19,8:20:01 AM,00:00:11
Zenbo App List,11-07-19,8:19:56 AM,00:00:06
Settings,11-07-19,8:19:53 AM,00:00:02
CaptivePortalLogin,11-07-19,8:19:41 AM,00:00:12
Settings,11-07-19,8:19:15 AM,00:00:26
Zenbo App List,11-07-19,8:19:10 AM,00:00:05
Chrome,11-07-19,8:17:38 AM,00:01:32
Zenbo App List,11-07-19,8:17:36 AM,00:00:01
Settings,11-07-19,8:17:35 AM,00:00:01
Zenbo App List,11-07-19,8:17:31 AM,00:00:05
Chrome,11-07-19,8:17:16 AM,00:00:14
Zenbo App List,11-07-19,8:17:13 AM,00:00:03
CaptivePortalLogin,11-07-19,8:17:10 AM,00:00:03
Zenbo App List,11-07-19,2:01:16 AM,06:15:54
LocalDS,11-07-19,2:00:01 AM,00:01:16
Zenbo App List,11-06-19,10:34:21 PM,03:25:39
